accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
0.05, 0.00, 0.55, 12.93, -8.11, 1.77, 0.23, 0.03, 0.43, 38373
0.00, -0.00, 0.56, 19.82, -10.43, 3.72, 0.23, 0.03, 0.43, 38383
-0.00, -0.00, 0.61, 26.40, -13.72, 3.29, 0.23, 0.02, 0.43, 38393
0.00, -0.00, 0.66, 31.04, -15.12, 3.60, 0.23, 0.01, 0.43, 38403
0.03, -0.02, 0.73, 35.06, -13.78, 4.88, 0.23, 0.01, 0.43, 38413
0.06, -0.02, 0.78, 37.62, -11.04, 7.74, 0.22, 0.01, 0.43, 38423
0.05, -0.02, 0.85, 38.35, -8.96, 12.26, 0.22, 0.01, 0.43, 38433
-0.00, -0.01, 0.88, 38.11, -5.91, 15.85, 0.22, 0.00, 0.42, 38443
-0.09, -0.02, 0.91, 40.55, -6.34, 15.37, 0.22, -0.00, 0.42, 38453
-0.07, -0.01, 0.98, 42.50, -8.72, 12.62, 0.22, -0.00, 0.42, 38463
-0.05, -0.01, 1.05, 43.90, -12.87, 12.38, 0.22, -0.01, 0.43, 38473
-0.08, -0.04, 1.16, 42.32, -20.61, 12.56, 0.21, -0.01, 0.42, 38483
-0.11, -0.04, 1.23, 39.39, -26.46, 11.10, 0.21, -0.01, 0.42, 38493
-0.16, -0.06, 1.29, 38.60, -30.73, 7.56, 0.21, -0.02, 0.42, 38503
-0.14, -0.10, 1.43, 38.78, -32.80, 0.49, 0.21, -0.02, 0.42, 38513
-0.01, -0.10, 1.60, 31.04, -28.11, -3.96, 0.21, -0.02, 0.42, 38523
0.11, -0.10, 1.67, 18.35, -20.24, -0.73, 0.21, -0.02, 0.42, 38533
0.12, -0.10, 1.66, 7.07, -11.04, 6.04, 0.20, -0.02, 0.41, 38543
0.04, -0.09, 1.62, -1.10, -4.21, 9.94, 0.20, -0.02, 0.42, 38553
-0.05, -0.09, 1.57, -7.26, 2.93, 9.88, 0.20, -0.02, 0.41, 38563
-0.12, -0.07, 1.49, -12.38, 7.20, 6.95, 0.21, -0.02, 0.42, 38573
-0.15, -0.06, 1.40, -13.96, 10.98, 1.40, 0.21, -0.02, 0.42, 38583
-0.08, -0.04, 1.37, -14.94, 12.68, -3.60, 0.21, -0.02, 0.42, 38593
-0.09, -0.05, 1.37, -18.78, 8.17, -5.67, 0.21, -0.01, 0.42, 38603
-0.08, -0.03, 1.36, -25.00, 4.02, -8.35, 0.21, -0.01, 0.42, 38613
